PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.4819
    0.000000    0.000000   -7.020000   1 'Cu    '     7.0200  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     7.0200  180.0000    0.0000
    42    3  12.000  index, nleg, degeneracy, r=  7.0200
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000    7.020000   1 'Cu    '     7.0200  180.0000    0.0000
    0.000000    0.000000    3.510000   1 'Cu    '     3.5100    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     3.5100  180.0000    0.0000
    43    4   6.000  index, nleg, degeneracy, r=  7.0200
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    0.000000    0.000000   1 'Cu    '     3.5100    0.0000    0.0000
    7.020000    0.000000    0.000000   1 'Cu    '     3.5100  180.0000    0.0000
    3.510000    0.000000    0.000000   1 'Cu    '     3.5100    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     3.5100  180.0000    0.0000
    44    2  36.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000    7.020000   -1.755000   1 'Cu    '     7.4458  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     7.4458  180.0000    0.0000
    45    3  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.755000    1.755000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000   -3.510000   -3.510000   1 'Cu    '     7.4458  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.9639    0.0000    0.0000
    46    3  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
    5.265000    0.000000   -5.265000   1 'Cu    '     7.4458  180.0000    0.0000
    1.755000    0.000000   -1.755000   1 'Cu    '     4.9639    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  180.0000    0.0000
    47    3  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
    5.265000    0.000000    5.265000   1 'Cu    '     7.4458  180.0000    0.0000
    3.510000    0.000000    3.510000   1 'Cu    '     2.4819    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.9639  180.0000    0.0000
    48    6  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000    0.000000   -1.755000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819    0.0000    0.0000
    1.755000    0.000000    1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    3.510000    0.000000    3.510000   1 'Cu    '     2.4819  180.0000    0.0000
    1.755000    0.000000    1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819    0.0000    0.0000
    49    4  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000    1.755000    0.000000   1 'Cu    '     2.4819  180.0000    0.0000
    1.755000   -1.755000    0.000000   1 'Cu    '     4.9639    0.0000    0.0000
    3.510000   -3.510000    0.000000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.9639    0.0000    0.0000
    50    4  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000   -1.755000    0.000000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819    0.0000    0.0000
    3.510000    3.510000    0.000000   1 'Cu    '     4.9639  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.9639    0.0000    0.0000
    51    4  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.755000   -1.755000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000   -3.510000    3.510000   1 'Cu    '     7.4458  180.0000    0.0000
    0.000000   -1.755000    1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819    0.0000    0.0000
    52    4  24.000  index, nleg, degeneracy, r=  7.4458
      x           y           z     ipot  label      rleg      beta        eta
   -5.265000   -5.265000    0.000000   1 'Cu    '     7.4458  180.0000    0.0000
   -3.510000   -3.510000    0.000000   1 'Cu    '     2.4819    0.0000    0.0000
